Label;Teks
Definisi;Kanker Payudara Penyakit di mana sel-sel abnormal di payudara tumbuh dan berkembang tanpa kontrol, menyerang jaringan sehat di sekitarnya, dan dapat menyebar ke organ lain.
Definisi;Karsinoma In Situ Kanker non-invasif yang terbatas pada saluran susu (duktus) atau lobulus payudara tanpa menyebar ke jaringan di sekitarnya.
Definisi;Karsinoma Invasif Kanker yang telah menyebar dari saluran susu atau lobulus ke jaringan payudara di sekitarnya, dan berpotensi menyebar ke kelenjar getah bening atau organ lain.
Definisi;Metastasis Penyebaran sel kanker dari payudara ke organ lain, seperti paru-paru, hati, tulang, atau otak, melalui darah atau sistem limfatik, Tumor Filodes Tumor langka yang bisa jinak, perbatasan (borderline), atau ganas. Biasanya tumbuh cepat dan memerlukan pengangkatan bedah.
Definisi;Triple Negative Breast Cancer (TNBC) Subtipe kanker payudara yang tidak memiliki reseptor estrogen, progesteron, atau HER2, sering kali lebih agresif dan sulit diobati, Kanker Payudara Inflamasi Jenis kanker payudara agresif yang menyebabkan pembengkakan, kemerahan, dan rasa hangat pada payudara, sering kali menyerupai infeksi. 
Definisi;Karsinoma in situ merupakan kanker non-invasif yang terbagi dalam tiga jenis utama. Ductal Carcinoma In Situ (DCIS) adalah kanker yang terbatas pada saluran susu (duktus) tanpa menyebar ke jaringan di sekitarnya. Lobular Carcinoma In Situ (LCIS) melibatkan sel-sel abnormal pada lobulus payudara, yang meningkatkan risiko berkembangnya kanker invasif di masa depan. Penyakit Paget adalah bentuk kanker langka yang memengaruhi kulit di sekitar puting susu dan area sekitarnya, sering kali menimbulkan perubahan seperti kemerahan, pengelupasan, atau gatal. Ketiga jenis kanker ini biasanya ditemukan pada tahap awal dan memiliki potensi hasil yang lebih baik jika dideteksi dan ditangani secara dini.
Definisi;Karsinoma invasif mencakup jenis kanker yang telah menyebar ke jaringan di luar area asalnya di payudara. NST (No Special Type), atau dikenal sebagai kanker duktal invasif, adalah jenis yang paling umum ditemukan. Sementara itu, Invasive Lobular Carcinoma (ILC) berasal dari lobulus payudara dan dapat menyebar ke jaringan sekitarnya, sering kali sulit terdeteksi melalui metode pencitraan konvensional. Kedua jenis ini memiliki sifat invasif yang memerlukan deteksi dini dan pengobatan yang tepat untuk mengurangi risiko penyebaran lebih lanjut.
Definisi;Kanker payudara spesifik mencakup beberapa jenis dengan karakteristik unik. Tubular Carcinoma memiliki bentuk tabung kecil dan biasanya memiliki prognosis yang baik. Cribriform Carcinoma menunjukkan pola seperti saringan atau kisi pada jaringan kanker. Mucinous Carcinoma menghasilkan lendir dan tumbuh lebih lambat dibandingkan jenis lainnya. Medullary Carcinoma adalah kanker langka dengan sel besar yang membentuk massa, sedangkan Atypical Medullary Carcinoma merupakan subtipe yang lebih agresif. Invasive Micropapillary Carcinoma cenderung invasif dan sering menyebar ke kelenjar getah bening. Jenis lain termasuk Carcinoma with Apocrine Differentiation, yang memiliki karakteristik sel apokrin, dan Carcinoma with Signet Ring Cell Differentiation, yang ditandai dengan sel berbentuk cincin.
Definisi;Triple Negative Breast Cancer (TNBC) Kanker yang tidak memiliki reseptor estrogen, progesteron, dan HER2, lebih agresif dan sulit diobati, Pembengkakan Payudara Pembengkakan yang terjadi pada seluruh atau sebagian payudara, yang tidak terkait dengan siklus menstruasi.
Definisi;Inflammatory Breast Cancer (IBC) Jenis kanker agresif yang menyebabkan payudara bengkak, merah, dan terasa hangat, sering salah diagnosis sebagai infeksi.
Definisi;Angiosarcoma Kanker langka yang berasal dari pembuluh darah atau limfatik di payudara, NST, Invasive Lobular Carcinoma, Puting Tertarik atau Perubahan Puting bisa tertarik ke dalam atau mengalami perubahan bentu
Definisi;tubular carcinoma, cribriform carcinoma, mucinous carcinoma, medullary carcinoma, atypical medullary carcinoma, invasive carcinoma with medullary features, carcinoma with apocrine differentiation, carcinoma with signet ring cell differentiation, invasive micropapillary carcinoma, metaplastic carcinoma 1  of no special type, low grade adenosquamous carcinoma, fibromatosis-like metaplastic carcinoma, squamous cell carcinoma, spindle cell carcinoma, metaplastic carcinoma with mesenchymal differentiation, mixed metaplastic carcinoma, myoepithelial carcinoma
Definisi;Penyakit Paget Kanker yang memengaruhi kulit puting dan areola, sering kali disertai dengan DCIS atau kanker invasif, Puting Tertarik atau Perubahan Puting bisa tertarik ke dalam atau mengalami perubahan bentuk
Gejala;Benjolan di Payudara Benjolan yang terasa keras dan tidak teratur, sering kali tidak nyeri, tetapi bisa berkembang seiring waktu, Perubahan pada Pembuluh Darah Pembuluh darah di sekitar payudara tampak lebih jelas atau menonjol
Gejala;"Keluarnya Cairan dari Puting	Cairan selain ASI, bisa berupa darah atau cairan bening yang keluar dari puting, terutama jika tidak sedang menyus, Perubahan Warna Kulit Payudara Kulit payudara bisa menjadi kemerahan atau tampak iritasi, dengan perasaan panas atau gatal pada area tertentu."
Gejala;"Nyeri pada Payudara atau Puting	Nyeri atau ketidaknyamanan pada payudara atau puting, meskipun kanker payudara sering kali tidak menimbulkan rasa sakit pada awalnya."
Gejala;"Pembengkakan Kelenjar Getah Bening	Pembengkakan kelenjar getah bening di bawah ketiak atau sekitar leher yang bisa menjadi tanda bahwa kanker telah menyebar."
Gejala;Kulit Payudara Terlihat Memerah Kulit payudara yang tampak merah, kadang disertai dengan rasa gatal atau panas, yang bisa mengindikasikan kanker payudara inflamasi.
Gejala;"Nyeri pada Payudara yang Berkelanjutan	Nyeri yang terus-menerus dan tidak berhubungan dengan siklus menstruasi, bisa menjadi tanda kanker payudara yang lebih lanjut."
Gejala;Pembengkakan atau Nyeri Kelenjar Getah Bening Pembengkakan yang lebih terasa pada kelenjar getah bening di bawah ketiak, leher, atau di bawah tulang selangka, yang bisa menandakan penyebaran kanker.
Gejala;Perubahan Bentuk Puting Puting susu yang mengalami perubahan bentuk atau keluar cairan yang tidak biasa seperti nanah atau darah, Perubahan Ukuran atau Bentuk Pembengkakan atau perubahan bentuk payudara yang bisa terjadi pada satu sisi atau keduanya
Gejala;"Kulit Payudara Tertarik atau Mengkerut	Kulit payudara atau puting yang tertarik ke dalam atau mengkerut, yang dapat menunjukkan adanya tumor yang menarik jaringan di sekitarnya."
Gejala;Peningkatan Sensitivitas atau Pembengkakan pada Payudara Payudara terasa lebih sensitif, nyeri atau bahkan terasa keras dan bengkak, yang dapat menunjukkan pertumbuhan tumor lebih lanjut.
Gejala;Pembengkakan Payudara yang Parah Pembengkakan besar pada seluruh atau sebagian payudara, dengan kulit yang semakin tegang dan tampak lebih teriritasi, Kesulitan Bernapas Jika kanker menyebar ke paru-paru, penderita mungkin merasa kesulitan bernapas, atau sesak napas yang parah
Gejala;"Perubahan Kulit Payudara yang Signifikan	Kulit payudara menjadi lebih tebal, kasar, dan tampak berkerut, seperti kulit jeruk, yang menunjukkan bahwa kanker telah menyebar ke jaringan sekitar."
Gejala;Nyeri Payudara yang Tidak Terkendali Nyeri parah yang terus-menerus pada payudara, yang tidak mereda meskipun telah diberikan pengobatan atau perubahan posisi.
Gejala;"Kanker Payudara Inflamasi (IBC)	Payudara menjadi merah, bengkak, panas, dan terasa sangat nyeri. Ini adalah bentuk kanker payudara yang agresif dan membutuhkan perhatian medis segera."
Gejala;Metastasis ke Bagian Tubuh Lain Nyeri yang muncul di bagian tubuh lain, seperti tulang, paru-paru, atau hati, menandakan bahwa kanker telah menyebar (metastasis)
Gejala;"Lendir atau Cairan Darah dari Puting	Cairan yang keluar dari puting, terutama yang mengandung darah atau nanah, dapat menjadi tanda kanker lanjut yang telah merusak jaringan sekitarnya."
Gejala;"Pembengkakan Kelenjar Getah Bening	Pembengkakan besar pada kelenjar getah bening di bawah ketiak, leher, atau di bawah tulang selangka, sering kali menunjukkan penyebaran kanker yang sudah lanjut."
Gejala;"Kelelahan yang Parah	Rasa lelah yang sangat parah dan tidak bisa dijelaskan oleh aktivitas sehari-hari, sering kali disebabkan oleh penyebaran kanker atau efek samping dari pengobatan."
Gejala;"Penurunan Berat Badan Tanpa Sebab	Penurunan berat badan yang signifikan tanpa usaha diet atau perubahan pola makan, sering kali menjadi tanda kanker stadium lanjut atau metastasis."
Gejala;Pemeriksaan Payudara Sendiri (SADARI) Langkah pertama untuk mendeteksi perubahan atau benjolan pada payudara yang tidak normal. Biasanya dilakukan oleh wanita itu sendiri secara rutin setiap bulan.
Gejala;"Pemeriksaan Klinis Payudara (SADANIS)	Pemeriksaan fisik oleh dokter untuk mengevaluasi kondisi payudara dan kelenjar getah bening di sekitar ketiak, leher, dan daerah lainnya."
Gejala;Mamografi Pemeriksaan radiologi yang menggunakan sinar-X untuk mendeteksi benjolan atau kelainan lainnya pada payudara, yang bisa mendeteksi kanker pada tahap awal.
Gejala;Ultrasonografi (USG) Teknik pencitraan menggunakan gelombang suara untuk menggambarkan struktur payudara dan membantu membedakan benjolan yang padat atau berisi cairan.
Gejala;Biopsi Pengambilan sampel jaringan dari benjolan atau area yang mencurigakan untuk diuji di laboratorium guna memastikan apakah sel-sel tersebut kanker, Hamartoma Massa jinak yang terdiri dari campuran jaringan fibrosa, lemak, dan kelenjar, sering ditemukan secara tidak sengaja pada mammogram.
Gejala;MRI Payudara Pencitraan payudara menggunakan medan magnet dan gelombang radio untuk memberikan gambaran yang lebih jelas, terutama untuk wanita dengan jaringan payudara yang padat.
Gejala;Tes Tumor Marker Pemeriksaan darah untuk mendeteksi keberadaan protein yang diproduksi oleh sel kanker, seperti CA 15-3 atau CA 27-29, yang dapat menunjukkan adanya kanker payudara.
Gejala;Biopsi Core Needle Biopsi menggunakan jarum tebal untuk mengambil sampel jaringan lebih besar dan lebih dalam dari benjolan payudara untuk analisis lebih lanjut.
Gejala;FNAB (Fine Needle Aspiration Biopsy) Biopsi menggunakan jarum halus untuk mengambil sedikit sampel sel dari benjolan atau tumor di payudara untuk diuji apakah ada sel kanker.
Gejala;Foto Toraks Pemeriksaan rontgen dada untuk memeriksa apakah kanker payudara telah menyebar ke paru-paru, CT Scan Pemeriksaan pencitraan untuk memeriksa apakah kanker telah menyebar ke bagian tubuh lain, seperti tulang atau hati.
Faktor Risiko;Riwayat Keluarga Memiliki anggota keluarga dengan riwayat kanker payudara, terutama ibu atau saudara perempuan, meningkatkan risiko terkena kanker payudara.
Faktor Risiko;Faktor Genetik (Mutasi Gen) Mutasi pada gen BRCA1, BRCA2, dan gen lainnya dapat meningkatkan risiko kanker payudara secara signifikan, Usia Risiko kanker payudara meningkat seiring bertambahnya usia, terutama pada wanita di atas 50 tahun.
Faktor Risiko;Paparan Estrogen Paparan hormon estrogen yang tinggi, seperti pada wanita yang memulai menstruasi lebih awal atau menopause terlambat, dapat meningkatkan risiko kanker payudara.
Faktor Risiko;Riwayat Kehamilan dan Menyusui Tidak pernah hamil atau melahirkan anak pertama setelah usia 30, serta tidak menyusui, dapat meningkatkan risiko kanker payudara.
Faktor Risiko;Kondisi Payudara Memiliki kondisi payudara tertentu, seperti hiperplasia duktal atipikal atau LCIS (Lobular Carcinoma In Situ), meningkatkan risiko kanker payudara.
Faktor Risiko;Paparan Radiasi Paparan radiasi di daerah dada, terutama pada usia muda (misalnya, pengobatan radiasi untuk kondisi lain), meningkatkan risiko kanker payudara.
Faktor Risiko;Obesitas dan Berat Badan Wanita yang kelebihan berat badan atau obesitas setelah menopause lebih berisiko terkena kanker payudara, terutama pada kanker payudara yang tergantung pada hormon.
Faktor Risiko;Pola Hidup dan Diet Gaya hidup yang kurang aktif, diet tinggi lemak, konsumsi alkohol yang berlebihan, serta merokok dapat meningkatkan risiko kanker payudara, Kehidupan Tanpa Anak Wanita yang tidak memiliki anak atau yang hamil di usia lebih tua cenderung memiliki risiko lebih tinggi terkena kanker payudar
Faktor Risiko;Penggunaan Terapi Hormon Penggunaan terapi penggantian hormon (HRT) jangka panjang setelah menopause dapat meningkatkan risiko kanker payudara, terutama yang tergantung pada estrogen.
Faktor Risiko;kanker Payudara Sebelumnya Wanita yang pernah mengidap kanker payudara pada satu payudara memiliki risiko lebih tinggi untuk mengembangkan kanker pada payudara lainnya.
Faktor Risiko;Paparan Lingkungan Paparan terhadap bahan kimia dan polutan tertentu, seperti pestisida, bahan kimia industri, dan pelarut, dapat meningkatkan risiko kanker payudara.
Pengobatan;Operasi (Bedah) Mastektomi: Pengangkatan seluruh payudara. Breast-Conserving Surgery (BCS): Operasi pengangkatan tumor dengan mempertahankan sebagian besar jaringan payudara. Modified Radical Mastectomy (MRM): Pengangkatan seluruh payudara dan kelenjar getah bening di ketiak.
Pengobatan;Kemoterapi Penggunaan obat-obatan (misalnya, AC, TA, ACT, TCH) untuk membunuh atau menghentikan pertumbuhan sel kanker, Imunoterapi Penggunaan obat untuk merangsang sistem kekebalan tubuh melawan kanker, Teknologi nanoteknologi: Hantaran obat langsung ke tumor.
Pengobatan;Terapi Radiasi Penggunaan sinar energi tinggi untuk membunuh sel kanker atau mengurangi ukurannya, Jenis Radiasi Tangensial 2D, 3D konformal, IMRT (Intensity-Modulated Radiation Therapy), brakiterapi, elektron.
Pengobatan;Dosis Radiasi 45-50 Gy untuk terapi adjuvan, atau dosis booster 10-16 Gy pada lokasi tumor, Pemeriksaan rutin (mamografi, SADARI, dan SADANIS), Prosedur Pembedahan Lainnya Pengangkatan kelenjar getah bening (diseksi aksila). Rekonstruksi payudara setelah mastektomi untuk memperbaiki penampilan
Pengobatan;Terapi Hormonal Tamoxifen: Digunakan untuk pasien dengan kanker yang memiliki reseptor estrogen positif. Aromatase Inhibitor (AI): Digunakan pada wanita pasca-menopause untuk menurunkan kadar estrogen.
Pengobatan;Terapi Target Herceptin (Trastuzumab): Digunakan untuk kanker dengan HER2 positif. m-TOR inhibitor dan anti-VEGF: Digunakan untuk menghambat jalur molekuler tertentu pada kanker payudara.
Pengobatan;Kemoradiasi Kombinasi kemoterapi dan radiasi untuk meningkatkan efektivitas pengobatan, terutama pada kanker stadium lanjut, Imunoterapi: Merangsang sistem kekebalan tubuh untuk melawan kanker, Terapi genetik: Mengedit gen yang terkait dengan kanker payudara.
Pengobatan;Neoadjuvan Pengobatan sebelum operasi untuk mengecilkan tumor agar lebih mudah diangkat, biasanya melibatkan kemoterapi atau terapi target, Adjuvan Pengobatan setelah operasi untuk mencegah kambuhnya kanker, meliputi kemoterapi, terapi radiasi, atau terapi hormonal.
Pengobatan;Stadium 0 = T0, N0, M0: Tumor belum berkembang ke jaringan payudara, kanker non-invasif (seperti DCIS).
Pengobatan;Stadium I = T1, N0, M0: Tumor berukuran kecil (?2 cm), belum menyebar ke kelenjar getah bening atau organ lain.
Pengobatan;Stadium IIA = T0-T1, N1, M0: Tumor kecil dengan keterlibatan kelenjar getah bening di dekatnya. T2, N0, M0: Tumor lebih besar (2-5 cm) tanpa keterlibatan kelenjar getah bening.
Pengobatan;Stadium IIB = T2, N1, M0: Tumor berukuran 2-5 cm dengan keterlibatan kelenjar getah bening.  T3, N0, M0: Tumor berukuran >5 cm tanpa keterlibatan kelenjar getah bening.
Pengobatan;Stadium IIIA = T0-T2, N2, M0: Tumor dengan keterlibatan kelenjar getah bening yang menyatu satu sama lain atau dengan struktur lain.  T3, N1-N2, M0: Tumor >5 cm dengan keterlibatan kelenjar getah bening.
Pengobatan;Stadium IIIB = T4, N0-N2, M0: Tumor telah menyebar ke dinding dada atau kulit payudara (seperti kulit jeruk), bisa melibatkan kelenjar getah bening lokal.
Pengobatan;Stadium IIIC = T, N3, M0: Tumor dengan keterlibatan kelenjar getah bening lebih luas, termasuk di atas atau di bawah tulang selangka.
Pengobatan;Stadium IV = T, N, M1: Tumor yang telah menyebar (metastasis) ke organ lain seperti paru-paru, hati, tulang, atau otak.
Pengobatan;Gaya hidup sehat (olahraga, diet seimbang, menjaga berat badan ideal), Dampak psikologis seperti depresi, kecemasan, atau rasa takut, Kehamilan dan menyusui untuk menurunkan risiko, Gangguan hubungan sosial dan pekerjaan akibat kanker. 
Pengobatan;Menghindari konsumsi alkohol berlebih dan paparan radiasi, Pentingnya dukungan pasien dari keluarga atau kelompok pendukung.
Pengobatan;Fibroadenoma Benjolan jinak yang umum pada payudara, biasanya tidak nyeri, mudah digerakkan, dan berbentuk bulat atau oval. Fibroadenoma Kompleks: Sedikit meningkatkan risiko kanker.
Pengobatan;Kista Kantong berisi cairan pada payudara, sering terjadi selama menstruasi, dapat menyebabkan nyeri dan pembengkakan, Kista Minyak Kista yang berisi cairan berminyak, sering kali muncul akibat trauma atau operasi pada payudara.
Pengobatan;Hiperplasia adalah pertumbuhan berlebih sel-sel di payudara. Hiperplasia Duktal Biasa tidak meningkatkan risiko kanker, sedangkan Hiperplasia Duktal Atipikal dan Hiperplasia Lobular Atipikal (ALH) meningkatkan risiko kanker invasif, sehingga memerlukan pemantauan lebih lanjut.
Pengobatan;Mastitis Infeksi payudara yang menyebabkan nyeri, bengkak, kemerahan, dan demam. Biasanya terjadi pada ibu menyusui, Hematoma Penggumpalan darah akibat trauma pada payudara, sering kali sembuh dengan sendirinya tanpa pengobatan.
Pengobatan;Adenosis adalah pembesaran lobulus payudara yang dapat menyebabkan kalsifikasi pada mammogram. Adenosis Sklerosis melibatkan jaringan parut dan sedikit meningkatkan risiko kanker payudara.
Pengobatan;"Ektasia Saluran	- Pelebaran saluran susu yang sering terjadi pada wanita menopause, dapat menyebabkan keluarnya cairan dari puting dan nyeri ringa, Kondisi Hormon Perubahan hormonal selama siklus menstruasi yang menyebabkan nyeri atau pembengkakan sementara pada payudara."
Pengobatan;"Nekrosis Lemak	 adalah Jaringan lemak yang rusak akibat trauma, operasi, atau radiasi. Dapat menyebabkan benjolan keras yang menyerupai kank, Bekas Luka Radial Pertumbuhan jaringan berserat yang tidak teratur, terlihat seperti kanker pada mammogram, tetapi tidak bersifat ganas.r."
Pengobatan;Tumor Filodes Jinak merupakan Tumor jinak yang tumbuh cepat, biasanya membutuhkan pengangkatan melalui operasi, Fibrosis  Jaringan parut atau pengerasan di payudara, sering menyebabkan tekstur yang keras atau nyer 
Pengobatan;"Lipoma	Benjolan lunak yang terdiri dari jaringan lemak, tidak nyeri, dan tidak meningkatkan risiko kank, Hiperplasia Adenosis Perubahan jinak pada lobulus dengan sedikit peningkatan risiko kanker."
Definisi;Kanker payudara adalah jenis kanker yang tumbuh di jaringan payudara, Penyakit ini terjadi ketika sel-sel di dalam payudara tumbuh secara tidak normal dan tidak terkendali. Sel-sel ini membelah dan menyebar dengan cepat, membentuk tumor yang dapat terasa sebagai benjolan. 
Definisi;Secara sederhana, kanker payudara terjadi ketika terjadi mutasi pada gen yang mengatur pertumbuhan sel,  Mutasi ini menyebabkan sel-sel tumbuh secara tidak terkendali dan membentuk tumor, Tumor ini kemudian dapat menyebar ke bagian tubuh lainnya melalui aliran darah atau sistem limfatik.
Definisi;Meskipun sering dikaitkan dengan wanita, pria juga dapat mengalami kanker payudara, meskipun kasusnya jauh lebih jarang.
Definisi;Setiap sel dalam tubuh kita memiliki instruksi genetik yang mengatur pertumbuhan dan pembelahan sel. Pada kanker payudara, terjadi mutasi atau perubahan pada gen-gen ini, sehingga sel-sel payudara tumbuh secara tidak terkendali.
Definisi;Sel-sel kanker ini kemudian dapat menyerang jaringan di sekitarnya dan menyebar ke bagian tubuh lainnya melalui aliran darah atau sistem limfatik.
Definisi;Deteksi dini sangat penting dalam penanganan kanker payudara. Semakin dini kanker ditemukan, semakin besar peluang kesembuhan. Pemeriksaan payudara secara teratur, baik oleh diri sendiri maupun oleh dokter, sangat dianjurkan.
Definisi;Stadium kanker payudara mengacu pada seberapa jauh kanker telah menyebar. Penentuan stadium sangat penting untuk menentukan pilihan pengobatan yang tepat.
Definisi;Pilihan pengobatan kanker payudara tergantung pada beberapa faktor, seperti stadium kanker, jenis kanker, dan kondisi kesehatan umum pasien.
Definisi;Hidup dengan kanker payudara bisa menjadi tantangan, namun dengan dukungan dari keluarga, teman, dan tim medis, banyak penderita kanker payudara yang dapat menjalani kehidupan yang berkualitas.
Definisi;Setelah operasi, rehabilitasi fisik dan psikologis sangat penting untuk membantu pemulihan.
Definisi;Setiap pengobatan memiliki efek samping yang berbeda-beda. Penting untuk mendiskusikan efek samping yang mungkin terjadi dengan dokter.
Definisi;Bagi wanita yang menjalani mastektomi (pengangkatan seluruh payudara), terdapat berbagai pilihan rekonstruksi payudara.
Definisi;Dukungan psikologis sangat penting untuk membantu penderita kanker payudara mengatasi emosi dan tantangan yang dihadapi.
